City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
241,Saint-Georges,40,GD,light intensity shower rain,74,12.06,-61.75,84.2,0.0,0,14.99
242,Tambacounda,0,SN,clear sky,32,13.75,-13.76,98.6,0.0,0,9.17
243,Dajal,0,PK,clear sky,21,29.56,70.38,103.23,0.0,0,26.62
244,Raga,100,SS,light rain,91,8.46,25.68,72.46,0.26,0,8.21
245,Fomboni,0,KM,clear sky,69,-12.28,43.74,77.22,0.0,0,16.17
246,Brainerd,75,US,broken clouds,61,46.36,-94.2,78.8,0.0,0,14.99
247,Burnie,100,AU,overcast clouds,88,-41.07,145.92,50.0,0.0,0,4.0
248,Coquimbo,100,CL,overcast clouds,67,-29.95,-71.34,60.8,0.0,0,9.17
249,Fairhope,75,US,broken clouds,65,30.52,-87.9,84.99,0.0,0,10.29
250,Samandag,40,TR,scattered clouds,60,36.08,35.98,75.2,0.0,0,5.82
251,Sheridan,40,US,scattered clouds,42,44.83,-106.92,66.2,0.0,0,16.11
252,Dakar,0,SN,dust,83,14.69,-17.44,84.2,0.0,0,16.11
253,Adrar,76,MR,broken clouds,13,20.5,-10.07,103.3,0.0,0,14.47
254,Haines Junction,100,CA,overcast clouds,46,60.75,-137.51,61.79,0.0,0,1.81
255,Cururupu,19,BR,light rain,75,-1.83,-44.87,82.45,0.48,0,5.7
256,Sorland,40,NO,scattered clouds,81,67.67,12.69,48.2,0.0,0,18.34
257,Mantena,39,BR,scattered clouds,66,-18.78,-40.98,74.53,0.0,0,3.44
258,Salinas,1,US,clear sky,44,36.68,-121.66,84.99,0.0,0,16.11
259,Tual,92,ID,light rain,84,-5.67,132.75,80.76,0.18,0,22.01
260,Batsfjord,40,NO,scattered clouds,70,70.63,29.72,46.4,0.0,0,12.75
261,Iisalmi,40,FI,scattered clouds,60,63.56,27.19,68.0,0.0,0,9.17
262,Ucluelet,75,CA,broken clouds,77,48.93,-125.55,62.6,0.0,0,9.17
263,Karratha,0,AU,clear sky,63,-20.74,116.85,68.72,0.0,0,3.6
264,Taunggyi,100,MM,overcast clouds,100,20.78,97.03,62.29,0.0,0,4.0
265,Koryukivka,100,UA,overcast clouds,88,51.77,32.25,63.84,0.0,0,1.97
266,Cherskiy,0,RU,clear sky,39,68.75,161.3,67.55,0.0,0,6.98
267,Xunchang,19,CN,few clouds,79,28.45,104.72,70.11,0.0,0,1.77
268,Waipawa,100,NZ,mist,93,-41.41,175.52,52.0,0.0,0,25.28
269,Antofagasta,20,CL,few clouds,77,-23.65,-70.4,60.8,0.0,0,4.7
270,Omsukchan,100,RU,overcast clouds,45,62.53,155.8,62.26,0.0,0,1.5
271,Wana,0,PK,clear sky,14,32.3,69.57,85.37,0.0,0,9.62
272,Portobelo,40,PA,scattered clouds,79,9.55,-79.65,84.99,0.0,0,10.29
273,Tiksi,100,RU,overcast clouds,71,71.69,128.87,53.35,0.0,0,4.09
274,Babushkin,69,RU,broken clouds,77,51.71,105.86,50.88,0.0,0,4.16
275,Mnogovershinnyy,81,RU,broken clouds,98,53.94,139.92,36.86,0.0,0,2.89
276,Carnarvon,0,AU,clear sky,72,-24.87,113.63,59.0,0.0,0,11.41
277,Aksu,100,CN,overcast clouds,22,41.12,80.26,78.49,0.0,0,4.14
278,Camacha,20,PT,few clouds,73,33.08,-16.33,71.6,0.0,0,9.17
279,Wattegama,22,LK,few clouds,94,6.8,81.48,80.6,0.0,0,6.93
280,Vysokaya Gora,0,RU,clear sky,54,55.91,49.3,59.0,0.0,0,6.71
281,Samarai,61,PG,light rain,82,-10.62,150.67,79.27,0.13,0,16.46
282,Bakchar,100,RU,overcast clouds,97,57.02,82.07,47.07,0.0,0,9.13
283,Salisbury,100,GB,light rain,93,51.07,-1.8,59.0,0.0,0,11.41
284,Cockburn Town,40,TC,scattered clouds,62,21.46,-71.14,87.8,0.0,0,13.87
285,Grand Gaube,100,MU,overcast clouds,81,-20.01,57.66,68.0,0.0,0,8.99
286,Usinsk,10,RU,clear sky,69,65.99,57.53,40.14,0.0,0,9.22
287,Sinazongwe,0,ZM,clear sky,48,-17.26,27.46,64.38,0.0,0,0.43
288,Cabra,0,ES,clear sky,29,37.47,-4.44,80.01,0.0,0,3.0
289,Dikson,94,RU,overcast clouds,96,73.51,80.55,32.83,0.0,0,16.78
290,Laguna,1,US,clear sky,14,38.42,-121.42,87.8,0.0,0,8.05
291,Hambantota,80,LK,broken clouds,94,6.12,81.12,80.6,0.0,0,6.93
292,Sulangan,100,PH,moderate rain,79,11.14,123.72,80.49,1.4,0,16.2
293,Grojec,40,PL,scattered clouds,88,51.86,20.87,71.01,0.0,0,1.12
294,Svetlogorsk,20,BY,few clouds,84,52.63,29.73,68.72,0.0,0,8.68
295,Chuy,33,UY,scattered clouds,75,-33.7,-53.46,65.3,0.0,0,16.82
296,Svelgen,20,NO,few clouds,87,61.77,5.3,73.4,0.0,0,8.05
297,Mahajanga,20,MG,few clouds,50,-15.72,46.32,77.0,0.0,0,11.41
298,Krasnoselkup,100,RU,overcast clouds,57,65.7,82.47,45.97,0.0,0,14.54
299,Witu,51,KE,broken clouds,83,-2.39,40.44,76.24,0.0,0,14.32
300,Sioux Lookout,90,CA,mist,88,50.1,-91.92,69.8,0.0,0,6.93
301,Soure,70,BR,light rain,72,-0.72,-48.52,84.99,0.2,0,11.61
302,Portland,92,US,overcast clouds,65,45.52,-122.68,71.01,0.0,0,3.78
303,Joshimath,90,IN,overcast clouds,55,30.57,79.57,63.41,0.0,0,2.3
304,Carutapera,70,BR,light rain,86,-1.2,-46.02,81.1,0.53,0,7.87
305,Hami,39,CN,scattered clouds,23,42.8,93.45,82.71,0.0,0,17.36
306,Pervomayskiy,68,RU,broken clouds,89,53.25,40.29,66.36,0.0,0,7.23
307,Khandyga,58,RU,broken clouds,84,62.67,135.6,57.22,0.0,0,2.28
