City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
263,Karratha,AU,68.72,-20.74,116.85,ibis Styles Karratha
264,Taunggyi,MM,62.29,20.78,97.03,True Treasure Hotel
265,Koryukivka,UA,63.84,51.77,32.25,Polissya
266,Cherskiy,RU,67.55,68.75,161.3,Gostinitsa
267,Xunchang,CN,70.11,28.45,104.72,Jiabin Inn
268,Waipawa,NZ,52.0,-41.41,175.52,Tora Coastal Walk
269,Antofagasta,CL,60.8,-23.65,-70.4,Hotel Terrado Suites Antofagasta
270,Omsukchan,RU,62.26,62.53,155.8,
271,Wana,PK,85.37,32.3,69.57,Rasa travel wana
272,Portobelo,PA,84.99,9.55,-79.65,La Finca
273,Tiksi,RU,53.35,71.69,128.87,Arktika
274,Babushkin,RU,50.88,51.71,105.86,Гостиница Байкальская
276,Carnarvon,AU,59.0,-24.87,113.63,Hospitality Carnarvon
277,Aksu,CN,78.49,41.12,80.26,Pudong Holiday Hotel
278,Camacha,PT,71.6,33.08,-16.33,Hotel Porto Santo & Spa
279,Wattegama,LK,80.6,6.8,81.48,
280,Vysokaya Gora,RU,59.0,55.91,49.3,Guest House Aynur
283,Salisbury,GB,59.0,51.07,-1.8,Mercure Salisbury White Hart Hotel
284,Cockburn Town,TC,87.8,21.46,-71.14,Osprey Beach Hotel
285,Grand Gaube,MU,68.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
287,Sinazongwe,ZM,64.38,-17.26,27.46,Lakeview Lodge
288,Cabra,ES,80.01,37.47,-4.44,MS Fuente Las Piedras
290,Laguna,US,87.8,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
291,Hambantota,LK,80.6,6.12,81.12,Bungalow 63
293,Grojec,PL,71.01,51.86,20.87,Guest Rooms ZACISZE
294,Svetlogorsk,BY,68.72,52.63,29.73,Hotel Svetlogorsk JBIK
295,Chuy,UY,65.3,-33.7,-53.46,Nuevo Hotel Plaza
296,Svelgen,NO,73.4,61.77,5.3,Bremanger Fjordhotell
297,Mahajanga,MG,77.0,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
299,Witu,KE,76.24,-2.39,40.44,
300,Sioux Lookout,CA,69.8,50.1,-91.92,Knobby's Fly-In Camps
302,Portland,US,71.01,45.52,-122.68,Portland Marriott City Center
303,Joshimath,IN,63.41,30.57,79.57,Shivalik Camps & Resort
305,Hami,CN,82.71,42.8,93.45,Laoyutang Resort
306,Pervomayskiy,RU,66.36,53.25,40.29,
307,Khandyga,RU,57.22,62.67,135.6,Apel'sin
311,Biak,ID,77.29,-0.91,122.88,Kost Ariz
313,Mandalgovi,MN,69.55,45.76,106.27,В.Ганбат
315,Grindavik,IS,50.0,63.84,-22.43,Northern Light Inn & Max's Restaurant
316,Roald,NO,66.0,62.58,6.13,Flem Cabins
317,Fremont,US,87.01,37.55,-121.99,Best Western Plus Garden Court Inn
318,Nishihara,JP,82.4,26.18,127.76,Minshuku Agaihama
319,Honiara,SB,71.6,-9.43,159.95,Heritage Park Hotel
320,Birjand,IR,80.6,32.87,59.22,Birjand Tourist Hotel
321,Rjukan,NO,75.0,59.88,8.59,Park Hotell Rjukan
323,Humpolec,CZ,62.01,49.54,15.36,fabrika hotel
325,Uarini,BR,86.0,-2.99,-65.11,
327,Harrisonville,US,89.6,38.65,-94.35,Americas Best Value Inn & Suites Harrisonville
328,Ihosy,MG,56.66,-22.4,46.12,Hotely Sariaka
329,Zolotkovo,RU,64.58,55.53,41.11,
330,Doka,SD,85.57,13.52,35.77,
331,Orlovskiy,RU,71.19,46.87,42.06,ТеТ-А-ТеТ
333,Minggang,CN,69.58,32.46,114.05,Yindu Hotel
334,Ballina,AU,57.2,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
336,Vila Franca Do Campo,PT,64.4,37.72,-25.43,Pestana Bahia Praia
338,Codrington,AU,50.58,-38.27,141.97,Codrington Gardens Bed And Breakfast
339,Marystown,CA,60.04,47.17,-55.15,Marystown Hotel & Convention Centre
340,Nanga Eboko,CM,69.39,4.68,12.37,Akila Hotel
341,Myrtle Beach,US,79.0,33.69,-78.89,Bay View Resort Myrtle Beach
342,Isla Vista,US,70.0,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
